date,stock
2024-06-07,110
2024-06-08,38
2024-06-09,27
2024-06-10,85
2024-06-11,118
2024-06-12,56
2024-06-13,69
2024-06-14,116
2024-06-15,34
2024-06-16,43
2024-06-17,79
2024-06-18,119
2024-06-19,27
2024-06-20,95
2024-06-21,35
2024-06-22,48
2024-06-23,51
2024-06-24,106
2024-06-25,27
2024-06-26,121
2024-06-27,59
2024-06-28,118
2024-06-29,112
2024-06-30,55
2024-07-01,38
2024-07-02,76
2024-07-03,62
2024-07-04,57
2024-07-05,59
2024-07-06,86
2024-07-07,79
2024-07-08,70
2024-07-09,42
2024-07-10,101
2024-07-11,97
2024-07-12,68
2024-07-13,74
2024-07-14,112
2024-07-15,84
2024-07-16,82
2024-07-17,65
2024-07-18,52
2024-07-19,55
2024-07-20,143
2024-07-21,94
2024-07-22,46
2024-07-23,80
2024-07-24,128
2024-07-25,127
2024-07-26,132
2024-07-27,55
2024-07-28,135
2024-07-29,73
2024-07-30,126
2024-07-31,147
2024-08-01,88
2024-08-02,61
2024-08-03,124
2024-08-04,117
2024-08-05,135
2024-08-06,87
2024-08-07,94
2024-08-08,146
2024-08-09,80
2024-08-10,90
2024-08-11,59
2024-08-12,127
2024-08-13,78
2024-08-14,122
2024-08-15,153
2024-08-16,102
2024-08-17,147
2024-08-18,85
2024-08-19,126
2024-08-20,138
2024-08-21,69
2024-08-22,63
2024-08-23,100
2024-08-24,134
2024-08-25,75
2024-08-26,52
2024-08-27,90
2024-08-28,49
2024-08-29,54
2024-08-30,121
2024-08-31,128
2024-09-01,64
2024-09-02,53
2024-09-03,95
2024-09-04,112
2024-09-05,119
2024-09-06,113
2024-09-07,36
2024-09-08,77
2024-09-09,34
2024-09-10,60
2024-09-11,107
2024-09-12,19
2024-09-13,63
2024-09-14,17
2024-09-15,74
2024-09-16,4
2024-09-17,64
2024-09-18,16
2024-09-19,68
2024-09-20,86
2024-09-21,44
2024-09-22,72
2024-09-23,9
2024-09-24,66
2024-09-25,93
2024-09-26,2
2024-09-27,10
2024-09-28,38
2024-09-29,72
2024-09-30,83
2024-10-01,37
